DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,date,weekday
2026.0,2015,2157.0,2140,MQ,4487,N830MQ,17.0,11.0,ORD,BNA,409.0,0,,0,0.0,0.0,17.0,0.0,0.0,2008-11-07,Friday
1511.0,1430,2227.0,2138,DL,946,N710TW,49.0,41.0,LAX,ATL,1946.0,0,,0,11.0,0.0,8.0,0.0,30.0,2008-02-22,Friday
1745.0,1415,1856.0,1537,US,767,N202UW,199.0,210.0,PHL,BOS,280.0,0,,0,0.0,0.0,0.0,0.0,199.0,2008-10-13,Monday
1105.0,1105,1237.0,1240,WN,1764,N787SA,-3.0,0.0,SAN,OAK,446.0,0,,0,,,,,,2008-11-04,Tuesday
950.0,950,1044.0,1040,WN,342,N509SW,4.0,0.0,BNA,BHM,177.0,0,,0,,,,,,2008-02-27,Wednesday
1704.0,1704,1815.0,1808,NW,1412,N984US,7.0,0.0,DTW,PIT,201.0,0,,0,,,,,,2008-06-04,Wednesday
1101.0,1105,1220.0,1230,WN,3572,N436WN,-10.0,-4.0,SMF,PDX,479.0,0,,0,,,,,,2008-07-22,Tuesday
1955.0,1945,2041.0,2032,OH,6464,N675BR,9.0,10.0,CVG,HTS,123.0,0,,0,,,,,,2008-11-10,Monday
1823.0,1750,2109.0,2105,AA,1893,N3CEAA,4.0,33.0,BDL,DFW,1471.0,0,,0,,,,,,2008-11-21,Friday
1459.0,1450,1701.0,1654,EV,4493,N724EV,7.0,9.0,ATL,DTW,594.0,0,,0,,,,,,2008-06-25,Wednesday
1852.0,1900,2050.0,2053,DL,1424,N682DA,-3.0,-8.0,PBI,ATL,545.0,0,,0,,,,,,2008-04-22,Tuesday
1543.0,1545,1700.0,1715,WN,3855,N345SA,-15.0,-2.0,BNA,MSY,471.0,0,,0,,,,,,2008-11-03,Monday
2031.0,2014,2309.0,2206,OO,5903,N973SW,63.0,17.0,ORD,ICT,588.0,0,,0,7.0,0.0,46.0,0.0,10.0,2008-12-20,Saturday
2140.0,2149,2218.0,2226,HA,323,N486HA,-8.0,-9.0,HNL,LIH,102.0,0,,0,,,,,,2008-06-15,Sunday
921.0,839,925.0,855,EV,4553,N751EV,30.0,42.0,ATL,PNS,272.0,0,,0,0.0,30.0,0.0,0.0,0.0,2008-03-29,Saturday
1807.0,1810,2020.0,2026,CO,285,N17329,-6.0,-3.0,IAH,OAK,1628.0,0,,0,,,,,,2008-04-26,Saturday
1149.0,1114,1327.0,1256,US,1551,N105UW,31.0,35.0,PHX,SLC,507.0,0,,0,0.0,0.0,0.0,0.0,31.0,2008-12-20,Saturday
1532.0,1535,1644.0,1640,AA,1355,N552AA,4.0,-3.0,SAT,DFW,247.0,0,,0,,,,,,2008-09-04,Thursday
1148.0,1135,1127.0,1130,MQ,4207,N688MQ,-3.0,13.0,AZO,ORD,122.0,0,,0,,,,,,2008-11-25,Tuesday
1125.0,1125,1326.0,1318,CO,489,N12313,8.0,0.0,IAH,SJC,1608.0,0,,0,,,,,,2008-06-19,Thursday
1650.0,1652,1811.0,1820,UA,807,N463UA,-9.0,-2.0,SFO,LAX,337.0,0,,0,,,,,,2008-11-19,Wednesday
1035.0,1035,1140.0,1135,WN,3714,N439WN,5.0,0.0,SEA,GEG,224.0,0,,0,,,,,,2008-07-26,Saturday
1127.0,1135,1319.0,1310,CO,224,N17329,9.0,-8.0,CLE,EWR,404.0,0,,0,,,,,,2008-01-24,Thursday
924.0,925,1118.0,1130,WN,3138,N683SW,-12.0,-1.0,ORF,MCO,655.0,0,,0,,,,,,2008-02-04,Monday
1923.0,1930,2042.0,2112,US,1887,N420US,-30.0,-7.0,BOS,PHL,280.0,0,,0,,,,,,2008-01-09,Wednesday
950.0,1006,1112.0,1133,AS,353,N799AS,-21.0,-16.0,SNA,OAK,371.0,0,,0,,,,,,2008-01-13,Sunday
1811.0,1705,1959.0,1830,B6,7,N593JB,89.0,66.0,BUF,JFK,301.0,0,,0,0.0,0.0,31.0,0.0,58.0,2008-04-12,Saturday
1426.0,1430,1513.0,1529,OO,5963,N962SW,-16.0,-4.0,PIA,ORD,130.0,0,,0,,,,,,2008-08-05,Tuesday
730.0,740,807.0,835,US,1851,N944UW,-28.0,-10.0,BWI,PHL,90.0,0,,0,,,,,,2008-03-27,Thursday
1353.0,1350,1724.0,1730,WN,1511,N785SW,-6.0,3.0,MDW,MCO,989.0,0,,0,,,,,,2008-08-24,Sunday
1731.0,1731,1814.0,1820,MQ,3086,N323AE,-6.0,0.0,SAN,LAX,109.0,0,,0,,,,,,2008-04-12,Saturday
1527.0,1525,1652.0,1622,XE,2963,N24517,30.0,2.0,IAH,GRK,166.0,0,,0,0.0,0.0,30.0,0.0,0.0,2008-01-31,Thursday
1500.0,1450,1648.0,1623,XE,412,N12201,25.0,10.0,OMA,SAN,1313.0,0,,0,0.0,0.0,15.0,0.0,10.0,2008-03-17,Monday
1628.0,1630,1854.0,1915,WN,798,N223WN,-21.0,-2.0,PHL,PBI,951.0,0,,0,,,,,,2008-09-24,Wednesday
1546.0,1540,1721.0,1721,EV,4882,N636AS,0.0,6.0,GNV,ATL,300.0,0,,0,,,,,,2008-04-16,Wednesday
2244.0,2230,13.0,2354,OO,6453,N710SK,19.0,14.0,LAX,PHX,370.0,0,,0,14.0,0.0,5.0,0.0,0.0,2008-07-14,Monday
616.0,615,719.0,725,WN,602,N425LV,-6.0,1.0,PHL,MDW,668.0,0,,0,,,,,,2008-10-23,Thursday
939.0,940,1034.0,1039,AS,81,N708AS,-5.0,-1.0,ANC,FAI,261.0,0,,0,,,,,,2008-03-17,Monday
1723.0,1731,1800.0,1816,OO,5461,N235SW,-16.0,-8.0,LAX,SBA,89.0,0,,0,,,,,,2008-03-17,Monday
936.0,942,1120.0,1128,EV,5419,N754EV,-8.0,-6.0,PHF,ATL,508.0,0,,0,,,,,,2008-11-06,Thursday
1457.0,1500,1703.0,1710,AA,263,N3AEAA,-7.0,-3.0,IAD,LAX,2288.0,0,,0,,,,,,2008-09-02,Tuesday
1443.0,1445,1603.0,1600,MQ,4465,N694AE,3.0,-2.0,ORD,DSM,299.0,0,,0,,,,,,2008-09-30,Tuesday
755.0,800,905.0,905,MQ,4640,N846MQ,0.0,-5.0,DCA,RDU,227.0,0,,0,,,,,,2008-12-13,Saturday
1345.0,1345,1451.0,1455,MQ,3798,N642AE,-4.0,0.0,HOU,DFW,247.0,0,,0,,,,,,2008-04-09,Wednesday
828.0,830,1006.0,1012,DL,804,N942DL,-6.0,-2.0,ATL,DCA,547.0,0,,0,,,,,,2008-10-08,Wednesday
1805.0,1815,1951.0,2001,YV,2897,N988HA,-10.0,-10.0,DRO,PHX,351.0,0,,0,,,,,,2008-01-14,Monday
1145.0,1150,1349.0,1350,MQ,4210,N672AE,-1.0,-5.0,ORD,TVC,224.0,0,,0,,,,,,2008-06-20,Friday
1700.0,1505,1924.0,1715,WN,2166,N479WN,129.0,115.0,MCI,SEA,1489.0,0,,0,12.0,0.0,14.0,0.0,103.0,2008-12-20,Saturday
1506.0,1400,1603.0,1501,OO,5766,N576SW,62.0,66.0,MFR,PDX,222.0,0,,0,62.0,0.0,0.0,0.0,0.0,2008-09-21,Sunday
1456.0,1455,1707.0,1730,WN,1604,N664WN,-23.0,1.0,PHL,MCO,861.0,0,,0,,,,,,2008-06-29,Sunday
912.0,910,1428.0,1422,CO,1594,N12125,6.0,2.0,LAX,IAH,1379.0,0,,0,,,,,,2008-03-26,Wednesday
,1800,,1909,US,2138,,,,LGA,BOS,185.0,1,A,0,,,,,,2008-12-22,Monday
826.0,830,1108.0,1100,DL,1115,N126DL,8.0,-4.0,ATL,SEA,2182.0,0,,0,,,,,,2008-01-24,Thursday
2046.0,1855,140.0,2345,AA,2468,N4XSAA,115.0,111.0,LAX,DFW,1235.0,0,,0,12.0,0.0,4.0,0.0,99.0,2008-09-21,Sunday
604.0,600,827.0,804,DL,363,N628DL,23.0,4.0,PHL,ATL,665.0,0,,0,0.0,0.0,23.0,0.0,0.0,2008-07-11,Friday
1330.0,1330,1601.0,1556,DL,747,N3731T,5.0,0.0,BOS,CVG,752.0,0,,0,,,,,,2008-03-06,Thursday
1609.0,1600,1906.0,1850,WN,963,N519SW,16.0,9.0,MDW,BWI,611.0,0,,0,9.0,0.0,7.0,0.0,0.0,2008-06-09,Monday
933.0,940,1104.0,1119,B6,1281,N179JB,-15.0,-7.0,BOS,RIC,474.0,0,,0,,,,,,2008-05-13,Tuesday
1923.0,1924,2019.0,2035,FL,317,N943AT,-16.0,-1.0,CLT,ATL,227.0,0,,0,,,,,,2008-06-06,Friday
1058.0,1100,1318.0,1325,AA,1683,N4XVAA,-7.0,-2.0,MSP,DFW,852.0,0,,0,,,,,,2008-04-19,Saturday
1622.0,1620,1715.0,1715,WN,1159,N685SW,0.0,2.0,MCI,STL,237.0,0,,0,,,,,,2008-03-24,Monday
928.0,920,1108.0,1104,DL,806,N929DL,4.0,8.0,ATL,DCA,547.0,0,,0,,,,,,2008-04-14,Monday
2129.0,2130,2244.0,2250,WN,704,N719SW,-6.0,-1.0,SMF,LAS,397.0,0,,0,,,,,,2008-08-22,Friday
1756.0,1735,2038.0,2000,AA,1136,N3CBAA,38.0,21.0,MIA,DCA,920.0,0,,0,10.0,0.0,17.0,0.0,11.0,2008-04-03,Thursday
2138.0,2135,2352.0,2359,DL,1886,N3767,-7.0,3.0,ATL,JFK,760.0,0,,0,,,,,,2008-06-20,Friday
2127.0,2130,2304.0,2252,XE,2133,N18101,12.0,-3.0,IAH,COS,809.0,0,,0,,,,,,2008-03-13,Thursday
